step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
320.0,18,297.0,5.303571428571429,3.402134503033752,18,1255.0,0.14204209314850919,18,1255.0
325.0,34,435.0,7.25,2.59229583449253,34,1367.0,0.10868741797532272,34,1367.0
330.0,36,519.0,8.370967741935484,2.4802677202303247,36,1409.0,0.11488429055935312,36,1409.0
335.0,35,553.0,9.216666666666667,2.5941660474988337,35,1305.0,0.1161885912374272,35,1305.0
340.0,34,629.0,10.14516129032258,3.835025755806666,34,1181.0,0.1175713726993489,34,1181.0
345.0,27,684.0,12.0,4.732781912305714,27,1156.0,0.14847090607739297,27,1156.0
350.0,20,572.0,10.592592592592593,4.675985811638239,20,1132.0,0.21340368162866943,20,1132.0
355.0,15,444.0,8.705882352941176,4.665229967028194,15,1008.0,0.2552167427231037,15,1008.0
360.0,22,471.0,8.563636363636364,3.482417396302105,22,1070.0,0.15205838378078954,22,1070.0
365.0,31,609.0,9.82258064516129,3.2818530302610083,31,1173.0,0.17127467732532262,31,1173.0
370.0,42,804.0,12.5625,2.2010569564258393,42,1369.0,0.10482122404398167,42,1369.0
375.0,48,904.0,14.125,0.847021292257873,48,1510.0,0.04775354061997867,48,1510.0
380.0,46,941.0,14.703125,1.6513472830035378,46,1562.0,0.04864350354898671,46,1562.0
385.0,37,879.0,13.318181818181818,2.70088810093528,37,1589.0,0.10036696509810182,37,1589.0
390.0,23,693.0,11.17741935483871,3.5551146543217134,23,1519.0,0.14166001239118692,23,1519.0
395.0,19,660.0,11.186440677966102,3.315789423528012,19,1445.0,0.12054006650335344,19,1445.0
400.0,21,715.0,11.171875,3.9893310533495443,21,1394.0,0.1912426033341553,21,1394.0
405.0,22,810.0,13.064516129032258,4.457740675366726,22,1304.0,0.18506155199869972,22,1304.0
410.0,19,829.0,13.370967741935484,3.769553467282088,19,1303.0,0.1579600348217801,19,1303.0
415.0,19,877.0,15.660714285714286,4.110458617075821,19,1276.0,0.19372230125142506,19,1276.0
420.0,23,804.0,13.862068965517242,2.8497601288771404,23,1308.0,0.10672826465003667,23,1308.0
425.0,32,925.0,15.677966101694915,2.879150885386426,32,1345.0,0.10862589630460924,32,1345.0
430.0,34,994.0,16.566666666666666,2.3870836206010115,34,1416.0,0.05456711474141807,34,1416.0
435.0,34,1039.0,16.234375,3.626033898606633,34,1441.0,0.17144957705686795,34,1441.0
440.0,31,1096.0,17.396825396825395,4.751720467076118,31,1410.0,0.20793430826054707,31,1410.0
445.0,26,1154.0,19.233333333333334,4.78488667465537,26,1417.0,0.19590082838523437,26,1417.0
450.0,25,1227.0,22.30909090909091,5.684170887049513,25,1453.0,0.2554663047116979,25,1453.0
455.0,24,1144.0,21.185185185185187,4.592276485670958,24,1455.0,0.21554895017107975,24,1455.0
460.0,21,1098.0,20.333333333333332,4.627288875306804,21,1401.0,0.23120672099395892,21,1401.0
465.0,22,1108.0,19.785714285714285,3.7155498992113976,22,1385.0,0.1576995501874309,22,1385.0
470.0,35,1257.0,19.640625,3.804325291761759,35,1485.0,0.15983930288449577,35,1485.0
475.0,36,1336.0,21.206349206349206,2.8404045285766237,36,1610.0,0.12251368240561478,36,1610.0
480.0,33,1359.0,22.278688524590162,2.334677525196866,33,1671.0,0.0756255978150861,33,1671.0
485.0,36,1432.0,23.096774193548388,3.798321968970935,36,1698.0,0.1121749238507954,36,1698.0
490.0,28,1492.0,26.17543859649123,4.45365772700865,28,1759.0,0.15404161165780772,28,1759.0
495.0,24,1571.0,29.09259259259259,5.626423262948793,24,1820.0,0.24571037420768077,24,1820.0
500.0,18,1489.0,28.634615384615383,4.658091801885148,18,1802.0,0.2294404919419533,18,1802.0
